Genome,,Strain,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Pseudomonas aeruginosa,strain,MHH0426,fig:287.12504.peg.1828,,,PATRIC.287.12504.287.12504.con.0003.CDS.464720.465760.rev,PATRIC,CDS,464720,465760,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH0147,fig:287.12505.peg.435,,,PATRIC.287.12505.287.12505.con.0001.CDS.433432.434451.rev,PATRIC,CDS,433432,434451,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH0927,fig:287.12506.peg.2314,,,PATRIC.287.12506.287.12506.con.0005.CDS.5573.6613.fwd,PATRIC,CDS,5573,6613,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5695,fig:287.12507.peg.1222,,,PATRIC.287.12507.287.12507.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5688,fig:287.12508.peg.1113,,,PATRIC.287.12508.287.12508.con.0003.CDS.32001.33026.fwd,PATRIC,CDS,32001,33026,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5638,fig:287.12509.peg.1927,,,PATRIC.287.12509.287.12509.con.0003.CDS.557396.558436.rev,PATRIC,CDS,557396,558436,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CH5666,fig:287.12510.peg.1530,,,PATRIC.287.12510.287.12510.con.0003.CDS.449171.450196.rev,PATRIC,CDS,449171,450196,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH17441,fig:287.12511.peg.818,,,PATRIC.287.12511.287.12511.con.0002.CDS.354781.355806.rev,PATRIC,CDS,354781,355806,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH17501,fig:287.12512.peg.1066,,,PATRIC.287.12512.287.12512.con.0002.CDS.42110.42916.fwd,PATRIC,CDS,42110,42916,807,+,,PLF_286_00001745,PGF_00780840,,268,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH17546,fig:287.12513.peg.39,,,PATRIC.287.12513.287.12513.con.0001.CDS.40429.41469.fwd,PATRIC,CDS,40429,41469,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH17783,fig:287.12514.peg.2110,,,PATRIC.287.12514.287.12514.con.0004.CDS.385388.386413.rev,PATRIC,CDS,385388,386413,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH1883,fig:287.12515.peg.780,,,PATRIC.287.12515.287.12515.con.0001.CDS.804911.805768.rev,PATRIC,CDS,804911,805768,858,-,,PLF_286_00001745,PGF_00780840,,285,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH17767,fig:287.12516.peg.5034,,,PATRIC.287.12516.287.12516.con.0035.CDS.12392.13420.fwd,PATRIC,CDS,12392,13420,1029,+,,PLF_286_00001745,PGF_00780840,,342,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH17247,fig:287.12517.peg.1382,,,PATRIC.287.12517.287.12517.con.0002.CDS.689381.690421.rev,PATRIC,CDS,689381,690421,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH17233,fig:287.12518.peg.36,,,PATRIC.287.12518.287.12518.con.0001.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH16379,fig:287.12520.peg.838,,,PATRIC.287.12520.287.12520.con.0002.CDS.45173.46057.fwd,PATRIC,CDS,45173,46057,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH16798,fig:287.12521.peg.1547,,,PATRIC.287.12521.287.12521.con.0002.CDS.762289.763173.rev,PATRIC,CDS,762289,763173,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG301975,fig:287.12522.peg.774,,,PATRIC.287.12522.287.12522.con.0001.CDS.770936.771961.rev,PATRIC,CDS,770936,771961,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG205864,fig:287.12523.peg.1553,,,PATRIC.287.12523.287.12523.con.0004.CDS.50487.51506.fwd,PATRIC,CDS,50487,51506,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG205710,fig:287.12524.peg.761,,,PATRIC.287.12524.287.12524.con.0001.CDS.783536.784555.rev,PATRIC,CDS,783536,784555,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302359,fig:287.12525.peg.4216,,,PATRIC.287.12525.287.12525.con.0013.CDS.46467.47486.fwd,PATRIC,CDS,46467,47486,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302370,fig:287.12526.peg.975,,,PATRIC.287.12526.287.12526.con.0003.CDS.46540.47559.fwd,PATRIC,CDS,46540,47559,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302367,fig:287.12527.peg.1379,,,PATRIC.287.12527.287.12527.con.0003.CDS.45174.46058.fwd,PATRIC,CDS,45174,46058,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302368,fig:287.12528.peg.2531,,,PATRIC.287.12528.287.12528.con.0005.CDS.45174.46058.fwd,PATRIC,CDS,45174,46058,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG205565,fig:287.12529.peg.1653,,,PATRIC.287.12529.287.12529.con.0004.CDS.46469.47488.fwd,PATRIC,CDS,46469,47488,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG205694,fig:287.12530.peg.448,,,PATRIC.287.12530.287.12530.con.0001.CDS.440870.441889.rev,PATRIC,CDS,440870,441889,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG8038581181,fig:287.12531.peg.1001,,,PATRIC.287.12531.287.12531.con.0002.CDS.45243.46127.fwd,PATRIC,CDS,45243,46127,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302451,fig:287.12532.peg.1490,,,PATRIC.287.12532.287.12532.con.0002.CDS.43148.44173.fwd,PATRIC,CDS,43148,44173,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302442,fig:287.12533.peg.427,,,PATRIC.287.12533.287.12533.con.0001.CDS.426905.427921.rev,PATRIC,CDS,426905,427921,1017,-,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302431,fig:287.12534.peg.4197,,,PATRIC.287.12534.287.12534.con.0007.CDS.362411.363451.rev,PATRIC,CDS,362411,363451,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302432,fig:287.12535.peg.1203,,,PATRIC.287.12535.287.12535.con.0003.CDS.40346.41386.fwd,PATRIC,CDS,40346,41386,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG316694,fig:287.12536.peg.768,,,PATRIC.287.12536.287.12536.con.0001.CDS.772767.773807.rev,PATRIC,CDS,772767,773807,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG316704,fig:287.12537.peg.2115,,,PATRIC.287.12537.287.12537.con.0003.CDS.555190.556215.rev,PATRIC,CDS,555190,556215,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG314777,fig:287.12538.peg.1509,,,PATRIC.287.12538.287.12538.con.0002.CDS.752813.753697.rev,PATRIC,CDS,752813,753697,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG314738,fig:287.12539.peg.482,,,PATRIC.287.12539.287.12539.con.0001.CDS.483028.484044.rev,PATRIC,CDS,483028,484044,1017,-,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG314696,fig:287.12540.peg.2079,,,PATRIC.287.12540.287.12540.con.0004.CDS.424174.425193.rev,PATRIC,CDS,424174,425193,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG316716,fig:287.12541.peg.43,,,PATRIC.287.12541.287.12541.con.0001.CDS.45243.46127.fwd,PATRIC,CDS,45243,46127,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,MHH2419,fig:287.12542.peg.573,,,PATRIC.287.12542.287.12542.con.0001.CDS.557032.558057.rev,PATRIC,CDS,557032,558057,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG302383,fig:287.12543.peg.2461,,,PATRIC.287.12543.287.12543.con.0004.CDS.434365.435390.rev,PATRIC,CDS,434365,435390,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG02512057,fig:287.12544.peg.38,,,PATRIC.287.12544.287.12544.con.0001.CDS.42111.43127.fwd,PATRIC,CDS,42111,43127,1017,+,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG02488718,fig:287.12545.peg.836,,,PATRIC.287.12545.287.12545.con.0001.CDS.845367.846383.rev,PATRIC,CDS,845367,846383,1017,-,,PLF_286_00001745,PGF_00780840,,338,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG5051896,fig:287.12546.peg.5988,,,PATRIC.287.12546.287.12546.con.0022.CDS.11785.12825.rev,PATRIC,CDS,11785,12825,1041,-,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG8510487,fig:287.12547.peg.1463,,,PATRIC.287.12547.287.12547.con.0003.CDS.402424.403443.rev,PATRIC,CDS,402424,403443,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG5089456,fig:287.12548.peg.1401,,,PATRIC.287.12548.287.12548.con.0003.CDS.404676.405695.rev,PATRIC,CDS,404676,405695,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG8525123,fig:287.12549.peg.1122,,,PATRIC.287.12549.287.12549.con.0003.CDS.50488.51507.fwd,PATRIC,CDS,50488,51507,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG8006959,fig:287.12550.peg.1478,,,PATRIC.287.12550.287.12550.con.0003.CDS.410460.411485.rev,PATRIC,CDS,410460,411485,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG5048010,fig:287.12551.peg.894,,,PATRIC.287.12551.287.12551.con.0002.CDS.410460.411485.rev,PATRIC,CDS,410460,411485,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG5021922,fig:287.12552.peg.368,,,PATRIC.287.12552.287.12552.con.0001.CDS.378012.379037.rev,PATRIC,CDS,378012,379037,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,Vb20477,fig:287.12553.peg.29,,,PATRIC.287.12553.287.12553.con.0001.CDS.32008.33033.fwd,PATRIC,CDS,32008,33033,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,Vb3320,fig:287.12554.peg.776,,,PATRIC.287.12554.287.12554.con.0001.CDS.793048.794073.rev,PATRIC,CDS,793048,794073,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,F1689,fig:287.12556.peg.2522,,,PATRIC.287.12556.287.12556.con.0004.CDS.45248.46132.fwd,PATRIC,CDS,45248,46132,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,F1688,fig:287.12557.peg.2350,,,PATRIC.287.12557.287.12557.con.0004.CDS.45248.46132.fwd,PATRIC,CDS,45248,46132,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,F1706,fig:287.12558.peg.41,,,PATRIC.287.12558.287.12558.con.0001.CDS.46467.47486.fwd,PATRIC,CDS,46467,47486,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,F1659,fig:287.12559.peg.665,,,PATRIC.287.12559.287.12559.con.0002.CDS.39154.40179.fwd,PATRIC,CDS,39154,40179,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,F1697,fig:287.12560.peg.1248,,,PATRIC.287.12560.287.12560.con.0003.CDS.38770.39795.fwd,PATRIC,CDS,38770,39795,1026,+,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG322541,fig:287.12561.peg.1093,,,PATRIC.287.12561.287.12561.con.0003.CDS.50488.51507.fwd,PATRIC,CDS,50488,51507,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,CF592_Iso2,fig:287.12562.peg.2556,,,PATRIC.287.12562.287.12562.con.0005.CDS.335292.336317.rev,PATRIC,CDS,335292,336317,1026,-,,PLF_286_00001745,PGF_00780840,,341,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG02420619,fig:287.12563.peg.1702,,,PATRIC.287.12563.287.12563.con.0002.CDS.833540.834424.rev,PATRIC,CDS,833540,834424,885,-,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG5003493,fig:287.12564.peg.1328,,,PATRIC.287.12564.287.12564.con.0003.CDS.45173.46057.fwd,PATRIC,CDS,45173,46057,885,+,,PLF_286_00001745,PGF_00780840,,294,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,ZG316722,fig:287.12565.peg.2353,,,PATRIC.287.12565.287.12565.con.0004.CDS.444553.445572.rev,PATRIC,CDS,444553,445572,1020,-,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,F1757,fig:287.12566.peg.1906,,,PATRIC.287.12566.287.12566.con.0004.CDS.8114.9133.fwd,PATRIC,CDS,8114,9133,1020,+,,PLF_286_00001745,PGF_00780840,,339,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
Pseudomonas aeruginosa,strain,F1752,fig:287.12567.peg.3701,,,PATRIC.287.12567.287.12567.con.0010.CDS.40526.41566.fwd,PATRIC,CDS,40526,41566,1041,+,,PLF_286_00001745,PGF_00780840,,346,,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33),GO:0036380:UDP-N-acetylglucosamine-undecaprenyl-phosphate N-acetylglucosaminephosphotransferase activity
